466302 Feet, 2 Inches
13830679126 Feet, 4 Inches
13838159401 Feet, 7 Inches
13846819304 Feet, 10 Inches
13855646884 Feet, 10 Inches
13856375325 Feet, 2 Inches
13857624324 Feet, 3 Inches
13865424717 Feet, 0 Inches
13869655000 Feet, 3 Inches
13870172050 Feet, 4 Inches
13873686433 Feet, 11 Inches
13880724729 Feet, 5 Inches
13885910012 Feet, 7 Inches
13891391568 Feet, 4 Inches
13901154557 Feet, 1 Inches
13903783908 Feet, 5 Inches
13909442460 Feet, 7 Inches
13911507086 Feet, 7 Inches
13919333562 Feet, 1 Inches
13927696266 Feet, 3 Inches
13935669836 Feet, 8 Inches
13938290167 Feet, 0 Inches
13941224100 Feet, 10 Inches
13950182492 Feet, 2 Inches
13950502210 Feet, 6 Inches
13958134121 Feet, 6 Inches
13967092478 Feet, 8 Inches
13967829098 Feet, 8 Inches
13973455479 Feet, 0 Inches
13973697290 Feet, 1 Inches
13973864318 Feet, 8 Inches
13975301104 Feet, 10 Inches
13976018669 Feet, 10 Inches
13980354575 Feet, 1 Inches
13985231696 Feet, 11 Inches
13989096981 Feet, 0 Inches
13990064185 Feet, 9 Inches
13995145859 Feet, 0 Inches
14002115297 Feet, 10 Inches
14006938122 Feet, 4 Inches
14008582280 Feet, 2 Inches
14017962262 Feet, 4 Inches
14023767291 Feet, 9 Inches
14030232623 Feet, 9 Inches
14037159193 Feet, 3 Inches
14045586767 Feet, 5 Inches
14049627051 Feet, 8 Inches
14058781567 Feet, 0 Inches
14061815479 Feet, 3 Inches
14068351714 Feet, 3 Inches
14077421007 Feet, 3 Inches
14081338503 Feet, 2 Inches
14091038664 Feet, 7 Inches
14099422810 Feet, 3 Inches
14107795242 Feet, 5 Inches
14115387330 Feet, 8 Inches
14117345324 Feet, 0 Inches
14117759005 Feet, 0 Inches
14118779946 Feet, 3 Inches
14121251267 Feet, 5 Inches
14128187461 Feet, 7 Inches
14135032792 Feet, 5 Inches
14140287035 Feet, 11 Inches
14141336981 Feet, 7 Inches
14147908750 Feet, 9 Inches
14150455722 Feet, 6 Inches
14155744872 Feet, 4 Inches
14164906835 Feet, 7 Inches
14170259846 Feet, 11 Inches
14177605651 Feet, 8 Inches
14187509152 Feet, 2 Inches
14192320656 Feet, 8 Inches
14193867935 Feet, 11 Inches
14196342060 Feet, 0 Inches
14204443145 Feet, 8 Inches
14210643091 Feet, 0 Inches
14216004209 Feet, 6 Inches
14223862530 Feet, 9 Inches
14227091698 Feet, 6 Inches
14234825302 Feet, 9 Inches
14243299807 Feet, 10 Inches
14249718504 Feet, 5 Inches
14249817225 Feet, 4 Inches
14250740557 Feet, 2 Inches
14256818568 Feet, 8 Inches
14260081139 Feet, 4 Inches
14268880259 Feet, 1 Inches
14275926356 Feet, 3 Inches
14284698065 Feet, 0 Inches
14288919159 Feet, 5 Inches
14289336308 Feet, 11 Inches
14292106192 Feet, 9 Inches
14293989280 Feet, 1 Inches
14302646350 Feet, 1 Inches
14312057612 Feet, 0 Inches
14317049609 Feet, 10 Inches
14323919347 Feet, 7 Inches
14324509400 Feet, 10 Inches
14327241222 Feet, 3 Inches
14330745941 Feet, 2 Inches
14334954985 Feet, 1 Inches
14343253786 Feet, 9 Inches
14351584508 Feet, 1 Inches
14351611693 Feet, 5 Inches
14351964462 Feet, 10 Inches
14356551641 Feet, 5 Inches
14359613933 Feet, 10 Inches
14365081432 Feet, 10 Inches
14365940471 Feet, 11 Inches
14373963955 Feet, 5 Inches
14375376844 Feet, 1 Inches
14375631168 Feet, 6 Inches
14376287915 Feet, 2 Inches
14376645835 Feet, 6 Inches
14383474384 Feet, 5 Inches
14388181615 Feet, 3 Inches
14389106676 Feet, 4 Inches
14392296031 Feet, 0 Inches
14396204351 Feet, 0 Inches
14405320213 Feet, 0 Inches
14412158844 Feet, 3 Inches
14413749385 Feet, 7 Inches
14419852623 Feet, 5 Inches
14425188009 Feet, 8 Inches
14431732847 Feet, 6 Inches
14439280559 Feet, 6 Inches
14443265424 Feet, 6 Inches
14444871915 Feet, 3 Inches
14449037602 Feet, 9 Inches
14457420680 Feet, 2 Inches
14464561648 Feet, 5 Inches
14470389491 Feet, 1 Inches
14475232785 Feet, 1 Inches
14483744772 Feet, 1 Inches
14484314155 Feet, 3 Inches
14494151516 Feet, 4 Inches
14495236624 Feet, 10 Inches
14505145610 Feet, 8 Inches
14511507681 Feet, 7 Inches
14517178437 Feet, 6 Inches
14523301407 Feet, 6 Inches
14529465770 Feet, 9 Inches
14533261051 Feet, 5 Inches
14535379193 Feet, 1 Inches
14536800617 Feet, 0 Inches
14540637498 Feet, 1 Inches
14550164348 Feet, 4 Inches
14552710024 Feet, 4 Inches
14555734704 Feet, 5 Inches
14560432066 Feet, 7 Inches
14564695064 Feet, 9 Inches
14574303400 Feet, 11 Inches
14576322122 Feet, 7 Inches
14578121963 Feet, 9 Inches
14584964840 Feet, 7 Inches
14590765820 Feet, 2 Inches
14596479741 Feet, 9 Inches
14605235901 Feet, 5 Inches
14612209866 Feet, 0 Inches
14618923567 Feet, 0 Inches
14619112612 Feet, 7 Inches
14622631866 Feet, 7 Inches
14629003882 Feet, 1 Inches
14633004407 Feet, 11 Inches
14641998422 Feet, 11 Inches
14650698954 Feet, 7 Inches
14656515425 Feet, 11 Inches
14660036004 Feet, 10 Inches
14664889571 Feet, 9 Inches
14666490173 Feet, 1 Inches
14675435421 Feet, 3 Inches
14678647170 Feet, 1 Inches
14682906465 Feet, 11 Inches
14691647363 Feet, 4 Inches
14697018481 Feet, 3 Inches
14700420630 Feet, 11 Inches
14707044386 Feet, 10 Inches
14710059683 Feet, 4 Inches
14715985653 Feet, 10 Inches
14720451312 Feet, 1 Inches
14727205192 Feet, 0 Inches
14734104903 Feet, 10 Inches
14743816298 Feet, 7 Inches
14746751084 Feet, 6 Inches
14747297813 Feet, 6 Inches
14750877815 Feet, 5 Inches
14760305371 Feet, 10 Inches
14760980763 Feet, 10 Inches
14764007427 Feet, 2 Inches
14768606261 Feet, 4 Inches
14778068437 Feet, 9 Inches
14779649692 Feet, 9 Inches
14789552540 Feet, 3 Inches
14792343843 Feet, 1 Inches
14799326295 Feet, 2 Inches
14806622613 Feet, 2 Inches
14812073046 Feet, 5 Inches
14819067090 Feet, 11 Inches
14820202938 Feet, 3 Inches
14821605834 Feet, 3 Inches
14828465598 Feet, 2 Inches
14830224922 Feet, 1 Inches
14839000652 Feet, 5 Inches
14845450746 Feet, 11 Inches
14850315939 Feet, 11 Inches
14851315186 Feet, 8 Inches
14856007989 Feet, 7 Inches
14856859263 Feet, 8 Inches
14865619207 Feet, 10 Inches
14869840964 Feet, 0 Inches
14872164759 Feet, 3 Inches
14874913148 Feet, 8 Inches
14882410828 Feet, 2 Inches
14888865658 Feet, 4 Inches
14891140894 Feet, 3 Inches
14899218871 Feet, 5 Inches
14903531900 Feet, 5 Inches
14906217648 Feet, 6 Inches
14910420474 Feet, 10 Inches
14916362617 Feet, 1 Inches
14920652833 Feet, 5 Inches
14930110204 Feet, 0 Inches
14939114540 Feet, 8 Inches
14942668172 Feet, 7 Inches
14951155603 Feet, 9 Inches
14959810872 Feet, 10 Inches
14968141040 Feet, 4 Inches
14977678348 Feet, 3 Inches
14985338200 Feet, 10 Inches
14991667457 Feet, 6 Inches
14995563640 Feet, 3 Inches
14996619009 Feet, 3 Inches
14999254220 Feet, 3 Inches
15000437391 Feet, 8 Inches
15001802724 Feet, 10 Inches
15006761117 Feet, 3 Inches
15012594995 Feet, 7 Inches
15019443542 Feet, 11 Inches
15023053384 Feet, 0 Inches
15030641430 Feet, 5 Inches
15034527706 Feet, 10 Inches
15040943331 Feet, 0 Inches
15043208149 Feet, 5 Inches
15051134990 Feet, 1 Inches
15051840838 Feet, 3 Inches
15058712913 Feet, 6 Inches
15065589439 Feet, 5 Inches
15070072963 Feet, 0 Inches
15075695117 Feet, 9 Inches
15085155826 Feet, 5 Inches
15089770650 Feet, 2 Inches
15095548642 Feet, 1 Inches
15098346222 Feet, 0 Inches
15099254581 Feet, 1 Inches
15107227157 Feet, 2 Inches
15111367255 Feet, 8 Inches
15113495085 Feet, 5 Inches
15119280060 Feet, 7 Inches
15126956483 Feet, 10 Inches
15134178885 Feet, 5 Inches
15140981815 Feet, 11 Inches
15145155862 Feet, 0 Inches
15151932609 Feet, 4 Inches
15161290377 Feet, 8 Inches
15168727873 Feet, 10 Inches
15171355186 Feet, 7 Inches
15180255622 Feet, 7 Inches
15188246915 Feet, 4 Inches
15191815016 Feet, 8 Inches
15192485605 Feet, 8 Inches
15196356889 Feet, 5 Inches
15202314707 Feet, 11 Inches
15211556945 Feet, 6 Inches
15212451478 Feet, 4 Inches
15221474461 Feet, 1 Inches
15223922778 Feet, 0 Inches
15226186173 Feet, 3 Inches
15230469874 Feet, 1 Inches
15232667717 Feet, 3 Inches
15239152866 Feet, 5 Inches
15240930766 Feet, 1 Inches
15250619319 Feet, 6 Inches
15256399381 Feet, 4 Inches
15258476357 Feet, 5 Inches
15258510254 Feet, 6 Inches
15261235512 Feet, 0 Inches
15269207215 Feet, 0 Inches
15271026814 Feet, 2 Inches
15271507812 Feet, 4 Inches
15279390658 Feet, 8 Inches
15288061797 Feet, 4 Inches
15289347687 Feet, 2 Inches
15297004527 Feet, 5 Inches
15304037729 Feet, 6 Inches
15313217827 Feet, 3 Inches
15314915811 Feet, 8 Inches
15316306036 Feet, 9 Inches
15324221919 Feet, 5 Inches
15331062767 Feet, 3 Inches
15335869329 Feet, 8 Inches
15343615166 Feet, 3 Inches
15346716708 Feet, 4 Inches
15354434798 Feet, 7 Inches
15358614561 Feet, 5 Inches
15367144394 Feet, 7 Inches
15371799801 Feet, 11 Inches
15378260882 Feet, 0 Inches
15386736636 Feet, 2 Inches
15388760549 Feet, 2 Inches
15389509702 Feet, 4 Inches
15397019208 Feet, 0 Inches
15403194988 Feet, 6 Inches
15403896097 Feet, 3 Inches
15407303021 Feet, 5 Inches
15416938241 Feet, 4 Inches
15419354193 Feet, 11 Inches
15424664546 Feet, 6 Inches
15426674490 Feet, 1 Inches
15428017743 Feet, 8 Inches
15428877098 Feet, 2 Inches
15434525274 Feet, 2 Inches
15440418734 Feet, 2 Inches
15446866939 Feet, 3 Inches
15449024560 Feet, 1 Inches
15456853970 Feet, 0 Inches
15465532193 Feet, 8 Inches
15472387882 Feet, 3 Inches
15477511869 Feet, 5 Inches
15486668406 Feet, 10 Inches
15491943447 Feet, 0 Inches
15495615813 Feet, 9 Inches
15503321975 Feet, 5 Inches
15512550144 Feet, 8 Inches
15517025463 Feet, 5 Inches
15524290803 Feet, 5 Inches
15530464403 Feet, 8 Inches
15536374142 Feet, 6 Inches
15537841824 Feet, 5 Inches
15539834352 Feet, 11 Inches
15548501704 Feet, 1 Inches
15555631608 Feet, 10 Inches
15556139456 Feet, 11 Inches
15564449712 Feet, 5 Inches
15574223925 Feet, 1 Inches
15581476010 Feet, 8 Inches
15590563989 Feet, 4 Inches
15600534250 Feet, 11 Inches
15601707948 Feet, 5 Inches
15604937444 Feet, 4 Inches
15611460518 Feet, 0 Inches
15612520415 Feet, 9 Inches
15618787715 Feet, 7 Inches
15628606416 Feet, 0 Inches
15630123901 Feet, 3 Inches
15638486133 Feet, 1 Inches
15639030360 Feet, 3 Inches
15642188596 Feet, 2 Inches
15642345537 Feet, 8 Inches
15651000199 Feet, 1 Inches
15658772290 Feet, 11 Inches
15663922213 Feet, 11 Inches
15668452322 Feet, 3 Inches
15675756327 Feet, 11 Inches
15680082508 Feet, 9 Inches
15687338304 Feet, 0 Inches
15688065451 Feet, 10 Inches
15692964944 Feet, 2 Inches
15694783431 Feet, 3 Inches
15696066566 Feet, 10 Inches
15704934437 Feet, 6 Inches
15711007692 Feet, 0 Inches
15711017848 Feet, 8 Inches
15718557852 Feet, 10 Inches
15720114675 Feet, 10 Inches
15721893767 Feet, 10 Inches
15723515215 Feet, 8 Inches
15730069080 Feet, 4 Inches
15735318044 Feet, 6 Inches
15744788380 Feet, 7 Inches
15747291184 Feet, 5 Inches
15747854701 Feet, 9 Inches
15748199186 Feet, 1 Inches
15755018502 Feet, 11 Inches
15757920861 Feet, 0 Inches
15762222071 Feet, 11 Inches
15763050930 Feet, 9 Inches
15769509500 Feet, 5 Inches
15778142580 Feet, 0 Inches
15781777435 Feet, 2 Inches
15785668354 Feet, 9 Inches
15788938239 Feet, 4 Inches
15789366913 Feet, 3 Inches
15798484041 Feet, 4 Inches
15807350074 Feet, 11 Inches
15812925438 Feet, 9 Inches
15815161074 Feet, 5 Inches
15822774226 Feet, 7 Inches
15828286964 Feet, 6 Inches
15832182444 Feet, 1 Inches
15833019436 Feet, 1 Inches
15840605265 Feet, 11 Inches
15847476555 Feet, 8 Inches
15854270250 Feet, 2 Inches
15856020733 Feet, 5 Inches
15862732381 Feet, 3 Inches
15867613035 Feet, 7 Inches
15867803551 Feet, 8 Inches
15869713772 Feet, 2 Inches
15873320080 Feet, 8 Inches
15882470392 Feet, 3 Inches
15883414793 Feet, 1 Inches
15887987141 Feet, 4 Inches
15894671947 Feet, 5 Inches
15898683659 Feet, 1 Inches
15907853600 Feet, 7 Inches
15907885507 Feet, 10 Inches
15917706032 Feet, 7 Inches
15922059180 Feet, 8 Inches
15925526249 Feet, 11 Inches
15932876710 Feet, 6 Inches
15942151942 Feet, 3 Inches
15950333224 Feet, 4 Inches
15950526157 Feet, 9 Inches
15957176777 Feet, 9 Inches
15960519537 Feet, 8 Inches
15967698601 Feet, 10 Inches
15971129240 Feet, 8 Inches
15971709051 Feet, 3 Inches
15973977680 Feet, 0 Inches
15982432823 Feet, 11 Inches
15987390034 Feet, 4 Inches
15991089057 Feet, 5 Inches
15998539697 Feet, 0 Inches
16005964539 Feet, 4 Inches
16013328045 Feet, 10 Inches
16015289706 Feet, 1 Inches
16022829593 Feet, 2 Inches
16026861652 Feet, 0 Inches
16032744429 Feet, 0 Inches
16035698600 Feet, 0 Inches
16039595163 Feet, 6 Inches
16045353618 Feet, 8 Inches
16050880562 Feet, 5 Inches
16060298159 Feet, 6 Inches
16069158300 Feet, 3 Inches
16078584183 Feet, 11 Inches
16082408327 Feet, 4 Inches
16090223696 Feet, 10 Inches
16091293712 Feet, 6 Inches
16091987362 Feet, 9 Inches
16101546783 Feet, 9 Inches
16107799018 Feet, 8 Inches
16112723476 Feet, 10 Inches
16122248104 Feet, 2 Inches
16131116798 Feet, 1 Inches
16140831743 Feet, 6 Inches
16144050472 Feet, 9 Inches
16145463589 Feet, 5 Inches
16148906672 Feet, 5 Inches
16152984556 Feet, 2 Inches
16155991334 Feet, 7 Inches
16161836211 Feet, 1 Inches
16165356531 Feet, 7 Inches
16166033077 Feet, 6 Inches
16175277992 Feet, 1 Inches
16180040006 Feet, 11 Inches
16183018136 Feet, 6 Inches
16189059624 Feet, 10 Inches
16197829778 Feet, 0 Inches
16206661245 Feet, 2 Inches
16216215103 Feet, 2 Inches
16224937769 Feet, 5 Inches
16234531138 Feet, 3 Inches
16236392405 Feet, 11 Inches
16239694868 Feet, 11 Inches
16244812730 Feet, 1 Inches
16245287431 Feet, 7 Inches
16252005246 Feet, 0 Inches
16261412836 Feet, 2 Inches
16262453770 Feet, 6 Inches
16272001704 Feet, 3 Inches
16273429390 Feet, 8 Inches
16276507246 Feet, 2 Inches
16281662232 Feet, 0 Inches
16290905107 Feet, 6 Inches
16299511548 Feet, 2 Inches
16308866060 Feet, 1 Inches
16317971334 Feet, 9 Inches
16320834122 Feet, 2 Inches
16321613357 Feet, 2 Inches
16330930056 Feet, 4 Inches
16334210847 Feet, 11 Inches
16337492540 Feet, 5 Inches
16339506528 Feet, 1 Inches
16343149636 Feet, 5 Inches
16343486599 Feet, 2 Inches
16353475926 Feet, 6 Inches
16362129267 Feet, 10 Inches
16364092444 Feet, 3 Inches
16373352316 Feet, 8 Inches
16382448837 Feet, 4 Inches
16387342812 Feet, 5 Inches
16392053140 Feet, 3 Inches
16400175830 Feet, 4 Inches
16404861007 Feet, 6 Inches
16408051520 Feet, 4 Inches
16409992208 Feet, 11 Inches
16419410185 Feet, 1 Inches
16423400278 Feet, 7 Inches
16426727659 Feet, 5 Inches
16436578849 Feet, 0 Inches
16443460989 Feet, 7 Inches
16443762467 Feet, 6 Inches
16444339151 Feet, 11 Inches
16447220912 Feet, 11 Inches
16448846417 Feet, 4 Inches
16450174941 Feet, 1 Inches
16452873726 Feet, 4 Inches
16457265257 Feet, 10 Inches
16463369958 Feet, 8 Inches
16470750499 Feet, 1 Inches
16471902961 Feet, 6 Inches
16478967816 Feet, 5 Inches
16488868679 Feet, 2 Inches
16494223073 Feet, 7 Inches
16500403794 Feet, 2 Inches
16501816176 Feet, 9 Inches
16507024570 Feet, 3 Inches
16516122195 Feet, 2 Inches
16518137641 Feet, 11 Inches
16519675128 Feet, 10 Inches
16525643753 Feet, 0 Inches
16533764813 Feet, 10 Inches
16541665817 Feet, 11 Inches
16549384438 Feet, 10 Inches
16558244469 Feet, 3 Inches
16566300272 Feet, 7 Inches
16576168504 Feet, 0 Inches
16579728801 Feet, 6 Inches
16588445637 Feet, 3 Inches
16589524611 Feet, 2 Inches
16595579978 Feet, 1 Inches
16598507746 Feet, 1 Inches
16603172612 Feet, 4 Inches
16613106763 Feet, 6 Inches
16622422144 Feet, 7 Inches
16631477807 Feet, 10 Inches
16636575032 Feet, 6 Inches
16644302007 Feet, 10 Inches
16651777913 Feet, 10 Inches
16654445897 Feet, 7 Inches
16660962741 Feet, 3 Inches
16662977565 Feet, 2 Inches
16670813622 Feet, 0 Inches
16679118137 Feet, 10 Inches
16686102126 Feet, 6 Inches
16691789285 Feet, 6 Inches
16692097318 Feet, 0 Inches
16694389656 Feet, 11 Inches
16700794732 Feet, 0 Inches
16708670236 Feet, 7 Inches
16716028427 Feet, 8 Inches
16722654597 Feet, 2 Inches
16729205974 Feet, 5 Inches
16737687462 Feet, 3 Inches
16742057180 Feet, 5 Inches
16747284569 Feet, 11 Inches
16754765961 Feet, 1 Inches
16760233391 Feet, 8 Inches
16767141117 Feet, 7 Inches
16776087144 Feet, 3 Inches
16782666549 Feet, 9 Inches
16790650073 Feet, 7 Inches
16793128069 Feet, 11 Inches
16798786268 Feet, 11 Inches
16801605883 Feet, 10 Inches
16803419656 Feet, 6 Inches
16807244519 Feet, 9 Inches
16810310435 Feet, 10 Inches
16812388822 Feet, 11 Inches
16819757715 Feet, 6 Inches
16825625806 Feet, 9 Inches
16833297577 Feet, 0 Inches
16842661082 Feet, 11 Inches
16843442728 Feet, 7 Inches
16843984039 Feet, 11 Inches
16845168885 Feet, 3 Inches
16850099742 Feet, 1 Inches
16851737685 Feet, 8 Inches
16852051299 Feet, 0 Inches
16859698307 Feet, 0 Inches
16862754506 Feet, 10 Inches
16871991040 Feet, 2 Inches
16880439282 Feet, 10 Inches
16881054242 Feet, 8 Inches
16890964240 Feet, 3 Inches
16891535503 Feet, 0 Inches
16899757746 Feet, 10 Inches
16906258892 Feet, 3 Inches
16908512242 Feet, 9 Inches
16909091228 Feet, 3 Inches
16919083798 Feet, 4 Inches
16928258109 Feet, 3 Inches
16937115939 Feet, 11 Inches
16939416041 Feet, 6 Inches
16941628460 Feet, 2 Inches
16946042555 Feet, 8 Inches
16946148899 Feet, 9 Inches
16955404901 Feet, 5 Inches
16957287459 Feet, 11 Inches
16966494420 Feet, 0 Inches
16972793156 Feet, 2 Inches
16972867584 Feet, 5 Inches
16977631885 Feet, 3 Inches
16987119411 Feet, 2 Inches
16991744115 Feet, 8 Inches
16994834311 Feet, 5 Inches
16998916164 Feet, 5 Inches
17008651225 Feet, 8 Inches
17008689182 Feet, 9 Inches
17008823495 Feet, 5 Inches
17014876551 Feet, 9 Inches
17017118485 Feet, 2 Inches
17020057497 Feet, 9 Inches
17025775795 Feet, 11 Inches
17034632764 Feet, 8 Inches
17044037564 Feet, 0 Inches
17044057738 Feet, 0 Inches
17050508186 Feet, 3 Inches
17055546277 Feet, 9 Inches
17064793125 Feet, 3 Inches
17066708864 Feet, 9 Inches
17067286061 Feet, 4 Inches
17067853830 Feet, 11 Inches
17074207943 Feet, 9 Inches
17080869334 Feet, 0 Inches
17083154729 Feet, 0 Inches
17086165637 Feet, 8 Inches
17091855420 Feet, 3 Inches
17092292726 Feet, 6 Inches
17095234618 Feet, 2 Inches
17095657114 Feet, 4 Inches
17102236038 Feet, 4 Inches
17111559732 Feet, 2 Inches
17119497420 Feet, 11 Inches
17123004683 Feet, 9 Inches
17131835483 Feet, 3 Inches
17138706037 Feet, 2 Inches
17141390509 Feet, 0 Inches
17145338526 Feet, 2 Inches
17147596386 Feet, 0 Inches
17156497764 Feet, 1 Inches
17158773800 Feet, 6 Inches
17164642838 Feet, 8 Inches
17171143394 Feet, 0 Inches
17173259868 Feet, 3 Inches
17173368580 Feet, 8 Inches
17175307067 Feet, 2 Inches
17175764338 Feet, 3 Inches
17175965554 Feet, 5 Inches
17180522785 Feet, 5 Inches
17185971188 Feet, 8 Inches
17194502784 Feet, 4 Inches
17202117383 Feet, 9 Inches
17209470180 Feet, 2 Inches
17214725642 Feet, 11 Inches
17222220776 Feet, 9 Inches
17226070179 Feet, 9 Inches
17234539519 Feet, 3 Inches
17237150175 Feet, 6 Inches
17243489090 Feet, 2 Inches
17252498306 Feet, 6 Inches
17253465610 Feet, 9 Inches
17254461232 Feet, 4 Inches
17255091928 Feet, 1 Inches
17261194447 Feet, 4 Inches
17266397581 Feet, 1 Inches
17270553536 Feet, 2 Inches
17275742403 Feet, 10 Inches
17285087887 Feet, 10 Inches
17291662434 Feet, 4 Inches
17293768479 Feet, 5 Inches
17298261454 Feet, 0 Inches
17307454904 Feet, 10 Inches
17312594176 Feet, 1 Inches
17316423046 Feet, 7 Inches
17321546224 Feet, 10 Inches
17325778579 Feet, 3 Inches
17331350371 Feet, 3 Inches
17338795607 Feet, 8 Inches
17343193826 Feet, 1 Inches
17346538338 Feet, 5 Inches
17354138584 Feet, 6 Inches
17357784616 Feet, 7 Inches
17364304713 Feet, 7 Inches
17364552122 Feet, 2 Inches
17374449319 Feet, 2 Inches
17380777798 Feet, 8 Inches
17380892796 Feet, 1 Inches
17386084823 Feet, 5 Inches
17396080277 Feet, 10 Inches
17402909115 Feet, 4 Inches
17406707201 Feet, 4 Inches
17407679719 Feet, 6 Inches
17407826995 Feet, 3 Inches
17417090296 Feet, 0 Inches
17420865190 Feet, 11 Inches
17429345912 Feet, 0 Inches
17438299775 Feet, 8 Inches
17439764373 Feet, 9 Inches
17441046348 Feet, 9 Inches
17450737609 Feet, 9 Inches
17457821877 Feet, 5 Inches
17458062568 Feet, 7 Inches
17467171475 Feet, 1 Inches
17472410550 Feet, 0 Inches
17475386287 Feet, 11 Inches
17476807384 Feet, 5 Inches
17477747364 Feet, 3 Inches
17482652665 Feet, 6 Inches
17487133429 Feet, 7 Inches
17493787714 Feet, 8 Inches
17502422379 Feet, 11 Inches
17502856320 Feet, 1 Inches
17505083666 Feet, 11 Inches
17513781345 Feet, 10 Inches
17519659963 Feet, 11 Inches
17519790048 Feet, 5 Inches
17524143395 Feet, 8 Inches
17532571188 Feet, 10 Inches
17539501486 Feet, 10 Inches
17540239677 Feet, 6 Inches
17546984121 Feet, 5 Inches
17552414259 Feet, 7 Inches
17559900289 Feet, 1 Inches
17566000651 Feet, 3 Inches
17570323335 Feet, 8 Inches
17572506332 Feet, 10 Inches
17573838678 Feet, 1 Inches
17579576781 Feet, 8 Inches
17581132741 Feet, 6 Inches
17583914526 Feet, 10 Inches
17591511673 Feet, 1 Inches
17595934087 Feet, 11 Inches
17603991577 Feet, 0 Inches
17611339852 Feet, 6 Inches
17612648364 Feet, 8 Inches
17614906453 Feet, 5 Inches
17615342424 Feet, 8 Inches
17615949457 Feet, 8 Inches
17620796185 Feet, 11 Inches
17621957692 Feet, 0 Inches
17623315620 Feet, 5 Inches
17623680588 Feet, 11 Inches
17630969802 Feet, 7 Inches
17633331961 Feet, 10 Inches
17641616827 Feet, 11 Inches
17645756582 Feet, 11 Inches
17652856888 Feet, 6 Inches
17661211072 Feet, 4 Inches
17661950368 Feet, 2 Inches
17663449661 Feet, 2 Inches
17670340550 Feet, 11 Inches
17676733316 Feet, 10 Inches
17684671328 Feet, 0 Inches
17689475033 Feet, 11 Inches
17694767099 Feet, 10 Inches
17700532018 Feet, 1 Inches
17702028928 Feet, 8 Inches
17711444254 Feet, 0 Inches
17717694003 Feet, 9 Inches
17721751953 Feet, 2 Inches
17725362472 Feet, 6 Inches
17725518903 Feet, 4 Inches
17735173425 Feet, 10 Inches
17742795216 Feet, 6 Inches
17752501414 Feet, 1 Inches
17757547482 Feet, 1 Inches
17760069346 Feet, 9 Inches
17767753736 Feet, 2 Inches
17776924352 Feet, 1 Inches
17779480942 Feet, 11 Inches
17785796570 Feet, 3 Inches
17791800196 Feet, 10 Inches
17796275245 Feet, 10 Inches
17801756686 Feet, 6 Inches
17802725728 Feet, 0 Inches
17806590507 Feet, 0 Inches
17809850167 Feet, 0 Inches
17818553272 Feet, 6 Inches
17826324658 Feet, 11 Inches
17831320965 Feet, 3 Inches
17838038011 Feet, 9 Inches
17838699735 Feet, 7 Inches
17841768572 Feet, 7 Inches
17848699980 Feet, 7 Inches
17857296813 Feet, 10 Inches
17861514136 Feet, 3 Inches
17870913879 Feet, 10 Inches
17875297085 Feet, 3 Inches
17877371603 Feet, 1 Inches
17881979303 Feet, 2 Inches
17883860126 Feet, 4 Inches
17889890023 Feet, 1 Inches
17896144593 Feet, 9 Inches
17902381218 Feet, 10 Inches
17906072175 Feet, 8 Inches
17906531517 Feet, 7 Inches
17911073957 Feet, 4 Inches
17917422517 Feet, 5 Inches
17926308145 Feet, 1 Inches
17931575397 Feet, 7 Inches
17936094451 Feet, 5 Inches
17937241123 Feet, 2 Inches
17943400839 Feet, 3 Inches
17947841946 Feet, 0 Inches
17956520308 Feet, 0 Inches
17960086814 Feet, 7 Inches
17962090049 Feet, 2 Inches
17966613394 Feet, 11 Inches
17969530282 Feet, 11 Inches
17975449103 Feet, 4 Inches
17978739991 Feet, 11 Inches
17983932721 Feet, 4 Inches
17992743359 Feet, 6 Inches
17999996783 Feet, 1 Inches
18009296292 Feet, 1 Inches
18018472115 Feet, 9 Inches
18019372818 Feet, 4 Inches
18026291490 Feet, 6 Inches
18028989337 Feet, 5 Inches
18033061757 Feet, 11 Inches
18039877160 Feet, 6 Inches
18044254295 Feet, 9 Inches
18047459767 Feet, 8 Inches
18047597116 Feet, 1 Inches
18047702515 Feet, 6 Inches
18053043597 Feet, 7 Inches
18062963919 Feet, 4 Inches
18067171544 Feet, 6 Inches
18074807454 Feet, 2 Inches
18075819054 Feet, 8 Inches
18080001127 Feet, 9 Inches
18081265299 Feet, 5 Inches
18081293380 Feet, 3 Inches
18081436792 Feet, 7 Inches
18081511020 Feet, 8 Inches
18084508334 Feet, 7 Inches
18092262292 Feet, 2 Inches
18099780247 Feet, 11 Inches
18108695166 Feet, 5 Inches
18109786669 Feet, 3 Inches
18116414179 Feet, 10 Inches
18125062629 Feet, 1 Inches
18125434998 Feet, 5 Inches
18131812154 Feet, 10 Inches
18140163382 Feet, 9 Inches
18149611070 Feet, 9 Inches
18158453366 Feet, 0 Inches
18168038596 Feet, 2 Inches
18174800730 Feet, 7 Inches
18182927711 Feet, 10 Inches
18192055846 Feet, 9 Inches
18195296935 Feet, 11 Inches
18196442526 Feet, 5 Inches
18204392003 Feet, 10 Inches
18205359059 Feet, 3 Inches
18205440316 Feet, 2 Inches
18209384965 Feet, 8 Inches
18209635804 Feet, 3 Inches
18217878544 Feet, 10 Inches
18220308471 Feet, 0 Inches
18230249944 Feet, 1 Inches
18230931906 Feet, 0 Inches
18237061443 Feet, 8 Inches
